Fecha,Hora,Día de la Semana,Tipo de Taco,Precio Unitario,Costo Insumo,Ganancia,Es Festivo,Día Especial
01-01-25,12:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Bistec,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Pastor,20,8.0,12.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Pastor,20,8.0,12.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Pastor,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,12:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Pastor,15,6.0,9.0,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,1:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Pastor,20,8.0,12.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Pastor,18,7.2,10.8,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,2:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,18,7.2,10.8,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Pastor,18,7.2,10.8,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Pastor,15,6.0,9.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Pastor,20,8.0,12.0,No,Promoción 2x1
01-01-25,7:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,8:00 PM,Wednesday,Bistec,15,6.0,9.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,15,6.0,9.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Pastor,15,6.0,9.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,15,6.0,9.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,15,6.0,9.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,9:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Tripa,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Tripa,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Pastor,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,18,7.2,10.8,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Suadero,15,6.0,9.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Suadero,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Tripa,15,6.0,9.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-01-25,10:00 PM,Wednesday,Bistec,20,8.0,12.0,No,Promoción 2x1
01-02-25,12:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Pastor,15,6.0,9.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Suadero,20,8.0,12.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,12:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,12:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,1:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,1:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,1:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,1:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,1:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,1:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,2:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,2:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,2:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,2:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Pastor,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,20,8.0,12.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,7:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,7:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Pastor,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,8:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,18,7.2,10.8,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Pastor,15,6.0,9.0,No,Ninguno
01-02-25,9:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Bistec,15,6.0,9.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Tripa,15,6.0,9.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Pastor,15,6.0,9.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Bistec,20,8.0,12.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Tripa,20,8.0,12.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Pastor,18,7.2,10.8,No,Ninguno
01-02-25,10:00 PM,Thursday,Suadero,15,6.0,9.0,No,Ninguno
01-02-25,10:00 PM,Thursday,Suadero,18,7.2,10.8,No,Ninguno
01-02-25,10:00 PM,Thursday,Suadero,20,8.0,12.0,No,Ninguno
